ID,Opportunity,Link,Framework,Category,Specialist,Organisation Name,Buyer Domain,Location Of The Work,Published At,Open For,Expected Contract Length,Applications from SMEs,Applications from Large Organisations,Total Organisations,Status,Winning supplier,Size of supplier,Contract amount,Contract start date
48,Senior Python Developer for Digital Marketplace (WP1100),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/48,digital-outcomes-and-specialists,digital-specialists,developer,Government Digital Service,digital.cabinet-office.gov.uk,London,2016-04-29,2 weeks,3 months + 3 month extension (if required),20.0,3.0,23.0,cancelled,,,,
78,Web Operators for Universal Credit,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/78,digital-outcomes-and-specialists,digital-specialists,webOperations,Department for Work and Pensions,dwp.gsi.gov.uk,Yorkshire and the Humber,2016-05-09,2 weeks,9  months with an option to extend month on month at the Authority's sole discretion.,13.0,3.0,16.0,closed,,,,
71,New Intranet for the Suffolk and Norfolk Constabularies,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/71,digital-outcomes-and-specialists,digital-outcomes,,Suffolk and Norfolk Constabularies,suffolk.pnn.police.uk,East of England,2016-05-04,2 weeks,Implementation and  Support to be no more than 18 months in duration,7.0,2.0,9.0,closed,,,,
86,Design and Build  CWGC Website,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/86,digital-outcomes-and-specialists,digital-outcomes,,Commonwealth War Graves Commission,cwgc.org,South East England,2016-05-05,2 weeks,,24.0,3.0,27.0,closed,,,,
101,Central Payment System Evolution (4x Java Developers),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/101,digital-outcomes-and-specialists,digital-specialists,developer,Department for Work and Pensions,dwp.gsi.gov.uk,North West England,2016-05-09,2 weeks,3 months with an option to extend for a further 3 months at the Authority's sole discretion,23.0,6.0,29.0,closed,,,,
89,NHS Pensions Digitisation - Alpha & Beta,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/89,digital-outcomes-and-specialists,digital-outcomes,,NHS Business Services Authority,nhs.net,North West England,2016-05-17,2 weeks,24 months,7.0,6.0,13.0,closed,,,,
97,Knowledge and Information Management (KIM) programme - Information / Business Analyst,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/97,digital-outcomes-and-specialists,digital-specialists,businessAnalyst,Maritime and Coastguard Agency,mcga.gov.uk,South East England,2016-05-05,2 weeks,3 months,16.0,3.0,19.0,closed,,,,
99,Digital Delivery Manager Senior,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/99,digital-outcomes-and-specialists,digital-specialists,deliveryManager,Office of the Public Guardian,publicguardian.gsi.gov.uk,West Midlands,2016-05-05,2 weeks,12 months,24.0,3.0,27.0,closed,,,,
116,EEA Healthcare Process and Systems Redesign,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/116,digital-outcomes-and-specialists,digital-outcomes,,Department of Health,dh.gsi.gov.uk,North East England,2016-05-10,2 weeks,Up to the end of August 2016,9.0,6.0,15.0,closed,,,,
114,IBM Z9 Mainframe Support and M204 Database Admin and Application Support,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/114,digital-outcomes-and-specialists,digital-outcomes,,Office for National Statistics,ons.gsi.gov.uk,Wales,2016-05-06,2 weeks,Circa 12 months,1.0,,1.0,closed,,,,
127,PR-0039 Engagement Lead on the Digital Apprenticeship Service team in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/127,digital-outcomes-and-specialists,digital-specialists,communicationsManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-10,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",10.0,3.0,13.0,closed,,,,
134,Individual Electoral Registration Digital Product Manager,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/134,digital-outcomes-and-specialists,digital-specialists,productManager,Cabinet Office,cabinetoffice.gov.uk,London,2016-05-10,2 weeks,3 months,19.0,2.0,21.0,closed,,,,
129,Cyber Security Enhancements,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/129,digital-outcomes-and-specialists,digital-outcomes,,University of Cambridge Information Services,cam.ac.uk,East of England,2016-05-16,2 weeks,3-6 months,6.0,5.0,11.0,closed,,,,
151,Technical Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/151,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Office of the Public Guardian (MOJ),publicguardian.gsi.gov.uk,West Midlands,2016-05-31,2 weeks,10 weeks initial contract,13.0,4.0,17.0,closed,,,,
149,Regulatory Delivery Commercial Service,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/149,digital-outcomes-and-specialists,digital-outcomes,,"Department for Business, Innovation and Skills",brdo.bis.gsi.gov.uk,London,2016-07-06,2 weeks,,14.0,2.0,16.0,closed,,,,
147,Digital Service Designer (Digideps),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/147,digital-outcomes-and-specialists,digital-specialists,designer,Office of the Public Guardian (MOJ),publicguardian.gsi.gov.uk,West Midlands,2016-05-19,2 weeks,,20.0,1.0,21.0,closed,,,,
143,WP1101: Additional  Systems Engineer (DevOps) for GOV.UK Pay,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/143,digital-outcomes-and-specialists,digital-specialists,webOperations,Government Digital Service,digital.cabinet-office.gov.uk,London,2016-05-11,2 weeks,Max 6 months with review after 3months,18.0,3.0,21.0,cancelled,,,,
142,PR-0099 Senior Delivery Manager in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/142,digital-outcomes-and-specialists,digital-specialists,deliveryManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-11,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",31.0,5.0,36.0,closed,,,,
170,DVSA MOT Service Beta to Live team,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/170,digital-outcomes-and-specialists,digital-outcomes,,Driver and Vehicle Standards Agency,dsa.gsi.gov.uk,East Midlands,2016-05-18,2 weeks,We expect this engagement to run for 9months,2.0,4.0,6.0,closed,,,,
163,Barbican Drupal 8 CMS project,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/163,digital-outcomes-and-specialists,digital-outcomes,,The Barbican Centre - Europe's largest multiarts centre,cityoflondon.gov.uk,London,2016-05-13,2 weeks,1 year,20.0,3.0,23.0,closed,,,,
160,Data Governance Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/160,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,NHS Property Services Ltd,property.nhs.uk,London,2016-05-12,2 weeks,3 months plus possible 3 month extension,18.0,5.0,23.0,closed,,,,
159,Customer Contact Consultant,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/159,digital-outcomes-and-specialists,digital-specialists,programmeManager,NHS Property Services Ltd,property.nhs.uk,London,2016-05-12,2 weeks,25 days,17.0,1.0,18.0,closed,,,,
158,Collaboration & Networks Programme - Desktop & Systems Management Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/158,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,NHS Property Services Ltd,property.nhs.uk,South West England,2016-05-12,2 weeks,12 months,12.0,1.0,13.0,closed,,,,
157,Collaboration & Networks Programme - Collaboration Technical Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/157,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,NHS Property Services Ltd,property.nhs.uk,South West England,2016-05-12,2 weeks,12 months,10.0,1.0,11.0,closed,,,,
156,Collaboration & Networks Programme - Identity Lead Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/156,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,NHS Property Services Ltd,property.nhs.uk,South West England,2016-05-12,2 weeks,3 months,10.0,1.0,11.0,closed,,,,
155,Technology Programme Management,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/155,digital-outcomes-and-specialists,digital-specialists,programmeManager,NHS Property Services Ltd,property.nhs.uk,South West England,2016-05-12,2 weeks,12 months,22.0,3.0,25.0,closed,,,,
181,Flood Guidance Statement Next Generation Development,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/181,digital-outcomes-and-specialists,digital-outcomes,,Flood Forecasting Centre (A partnership between Met Office and Environment Agency),metoffice.gov.uk,Offsite,2016-05-16,2 weeks,New solution needs to be available for Dec 2016 at the latest,15.0,13.0,28.0,awarded,The App Business,medium,500000.0,2016-07-03
196,PR-0109 Product Manager (Hosting) in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/196,digital-outcomes-and-specialists,digital-specialists,productManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-16,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs change.",18.0,3.0,21.0,closed,,,,
199,CHaPS Refresh - Transforming Assets Programme,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/199,digital-outcomes-and-specialists,digital-outcomes,,Department for Work and Pensions,dwp.gsi.gov.uk,North East England,2016-05-17,2 weeks,An initial 6 month discovery phase followed by up to a further 18 months at DWP's sole discretion,8.0,8.0,16.0,closed,,,,
207,Data Exchange - Business Analysis and User Requirements,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/207,digital-outcomes-and-specialists,digital-specialists,businessAnalyst,Department for Education,education.gsi.gov.uk,London,2016-05-17,2 weeks,"3month initally, with scope to extend if project progresses",32.0,6.0,38.0,closed,,,,
203,Technical Architect for Patent Transformation Project (PTP),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/203,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Intellectual Property Office,ipo.gov.uk,Wales,2016-05-27,2 weeks,12 months with the possibility of a further 12 month extension.,17.0,2.0,19.0,closed,,,,
202,Derby_Mobile,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/202,digital-outcomes-and-specialists,digital-specialists,programmeManager,Derbyshire Constabulary,derbyshire.pnn.police.uk,East Midlands,2016-05-17,2 weeks,1 month,8.0,2.0,10.0,closed,,,,
222,PR-0057 KIM Analyst in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/222,digital-outcomes-and-specialists,digital-specialists,businessAnalyst,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-20,2 weeks,"12 months, but may be shorter, depending on how the project develops and the needs.",24.0,4.0,28.0,closed,,,,
221,PR-0013 Agile Delivery Manager (for KIM/Data Migration) in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/221,digital-outcomes-and-specialists,digital-specialists,deliveryManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-19,2 weeks,,28.0,5.0,33.0,closed,,,,
219,eCR Q1 release,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/219,digital-outcomes-and-specialists,digital-outcomes,,Lancashire Care NHS FT,lancashirecare.nhs.uk,North West England,2016-05-19,2 weeks,3 months - release at the end of June and then any bug fixing required,1.0,,1.0,closed,,,,
218,Fully digital recruitment,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/218,digital-outcomes-and-specialists,user-research-participants,,Office of the Public Guardian,publicguardian.gsi.gov.uk,West Midlands,2016-05-18,2 weeks,,8.0,,8.0,closed,,,,
226,PR-0122 Hands-on PMO Lead in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/226,digital-outcomes-and-specialists,digital-specialists,deliveryManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-19,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",22.0,3.0,25.0,closed,,,,
228,Wordpress Developer,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/228,digital-outcomes-and-specialists,digital-specialists,developer,Highways England,highwaysengland.co.uk,Yorkshire and the Humber,2016-06-14,2 weeks,2-4 months,22.0,1.0,23.0,closed,,,,
242,New Style of IT Deployed (NSoIT(D)) Technical Design Support,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/242,digital-outcomes-and-specialists,digital-outcomes,,"Information System and Services, Joint Force Command, Ministry of Defence",mod.uk,South West England,2016-05-20,2 weeks,6 months,8.0,8.0,16.0,closed,,,,
233,PR-0107 Service Designer 1 in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/233,digital-outcomes-and-specialists,digital-specialists,serviceManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-20,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",23.0,2.0,25.0,closed,,,,
232,PR-0059 (KIM) Data Migration Support Engineer in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/232,digital-outcomes-and-specialists,digital-specialists,developer,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-20,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",22.0,4.0,26.0,closed,,,,
231,PR-0029 - DOS Specialist - Programme Delivery Manager,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/231,digital-outcomes-and-specialists,digital-specialists,deliveryManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-20,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",42.0,7.0,49.0,closed,,,,
245,DVSA MOT Service Data Quality and Migration (Revised Requirement),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/245,digital-outcomes-and-specialists,digital-outcomes,,DVSA (Driver & Vehicle Standards Agency),dsa.gsi.gov.uk,East Midlands,2016-05-23,2 weeks,We expect this engagement to run for between 6 and 9 months from start.,12.0,5.0,17.0,closed,,,,
247,Assisted Prison Visits Scheme- Payments System,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/247,digital-outcomes-and-specialists,digital-outcomes,,National Offender Management Service (Ministry of Justice),justice.gsi.gov.uk,London,2016-05-31,2 weeks,,13.0,7.0,20.0,closed,,,,
249,PR-0108 Service Designer 2 in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/249,digital-outcomes-and-specialists,digital-specialists,serviceManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-23,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",22.0,2.0,24.0,closed,,,,
252,PR-0030 Hands-on PMO Lead in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/252,digital-outcomes-and-specialists,digital-specialists,deliveryManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-23,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",24.0,4.0,28.0,closed,,,,
257,PR-0011 ITSM Product Manager in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/257,digital-outcomes-and-specialists,digital-specialists,productManager,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-24,2 weeks,"12 months, but may be shorter/longer, depending on how the project develops and the needs.",20.0,4.0,24.0,closed,,,,
265,User research for digital apprenticeship service (SFADAS01),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/265,digital-outcomes-and-specialists,digital-outcomes,,"Skills Funding Agency (SFA) on behalf of the Department for Business, Innovation and Skills (BIS)",sfa.bis.gov.uk,West Midlands,2016-06-08,2 weeks,2 years but may be shorter depending on progress towards delivering the strands of work.,10.0,3.0,13.0,closed,,,,
268,WP1105: Transformation Delivery Manager,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/268,digital-outcomes-and-specialists,digital-specialists,deliveryManager,Government Digital Service,digital.cabinet-office.gov.uk,London,2016-05-25,2 weeks,Max 2 years with a 6 monthly review,36.0,5.0,41.0,cancelled,,,,
270,WP1102: Transformation Service Manager,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/270,digital-outcomes-and-specialists,digital-specialists,serviceManager,Government Digital Service,digital.cabinet-office.gov.uk,London,2016-05-25,2 weeks,2 years with a regular 6 month review,29.0,3.0,32.0,cancelled,,,,
280,HM Courts and Tribunal Service Reform Programme - Divorce Project,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/280,digital-outcomes-and-specialists,user-research-participants,,HM Court and Tribunals Service (Ministry of Justice),justice.gsi.gov.uk,London,2016-05-27,2 weeks,,7.0,,7.0,closed,,,,
277,HM Courts and Tribunal Service Reform Programme - Probate Project,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/277,digital-outcomes-and-specialists,user-research-participants,,HM Court and Tribunal Service Reform Programme (Ministry of Justice),justice.gsi.gov.uk,London,2016-05-27,2 weeks,,7.0,,7.0,closed,,,,
285,PR-0111 Network Engineer in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/285,digital-outcomes-and-specialists,digital-specialists,webOperations,"Department for Business, Innovation & Skills",bis.gov.uk,London,2016-05-31,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",16.0,3.0,19.0,closed,,,,
289,(WP1113) Recruitment of participants for 6 rounds of usability tests on the content on GOV.UK,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/289,digital-outcomes-and-specialists,user-research-participants,,Government Digital Services [GDS],digital.cabinet-office.gov.uk,London,2016-06-07,2 weeks,,10.0,,10.0,awarded,The Talking Shop Manchester,micro,10000.0,2016-7-29
291,PR-0113 Technical Delivery Manager in the BIS Digital Group,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/291,digital-outcomes-and-specialists,digital-specialists,deliveryManager,"Department for Business, Innovation & Skills (Digital Directorate, Common Technology Programme)",bis.gov.uk,London,2016-06-01,2 weeks,"24 months, but may be shorter, depending on how the project develops and the needs.",21.0,3.0,24.0,closed,,,,
292,FIT (Feed In Tariffs) Redevelopment,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/292,digital-outcomes-and-specialists,digital-outcomes,,Office of Gas and Electricity Markets (OFGEM),ofgem.gov.uk,London,2016-06-02,2 weeks,"A period of 8 months, and lasting until the end of this financial year (31st March 2017)",11.0,7.0,18.0,closed,,,,
296,User Researcher,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/296,digital-outcomes-and-specialists,digital-specialists,userResearcher,College of Teaching,collegeofteaching.ac.uk,London,2016-06-28,2 weeks,4 months in the first instance,10.0,1.0,11.0,closed,,,,
297,Designer for new College of Teaching,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/297,digital-outcomes-and-specialists,digital-specialists,designer,College of Teaching,collegeofteaching.ac.uk,London,2016-06-28,2 weeks,4 months in the first instance,10.0,1.0,11.0,closed,,,,
307,HM Courts and Tribunal Service - Agile Coach (Reform Programme) RFM-TD-004,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/307,digital-outcomes-and-specialists,digital-specialists,agileCoach,HM Courts and Tribunal Service (HMCTS),hmcts.gsi.gov.uk,London,2016-06-02,2 weeks,Up to 2 years,31.0,6.0,37.0,closed,,,,
305,HM Courts and Tribunal Service - Agile Coach (Reform Programme) RFM-TD-003,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/305,digital-outcomes-and-specialists,digital-specialists,agileCoach,HM Courts and Tribunal Service (HMCTS),hmcts.gsi.gov.uk,London,2016-06-02,2 weeks,Up to 2 years,26.0,7.0,33.0,closed,,,,
304,HM Court and Tribunal Service - Hands-On Technical Lead (Reform Programme) RFM-TD-002,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/304,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,HM Courts and Tribunal Service (HMCTS),hmcts.gsi.gov.uk,London,2016-06-02,2 weeks,Up to 2 years,26.0,6.0,32.0,closed,,,,
302,HM Court and Tribunal Service - Hands-On Technical Lead (Reform Programme) RFM-TD-001,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/302,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,HM Courts and Tribunal Service (HMCTS),hmcts.gsi.gov.uk,London,2016-06-02,2 weeks,Up to 2 years,19.0,5.0,24.0,closed,,,,
298,GÉANT Inventory System,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/298,digital-outcomes-and-specialists,digital-outcomes,,GEANT Limited,lists.geant.org,Offsite,2016-06-14,2 weeks,12 months including integration and training.,14.0,3.0,17.0,closed,,,,
311,HM Court and Tribunal Service Reform Programme - User Participants,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/311,digital-outcomes-and-specialists,user-research-participants,,HM Courts and Tribunal Service Reform Programme (Ministry of Justice),justice.gsi.gov.uk,London,2016-06-03,2 weeks,,6.0,,6.0,closed,,,,
315,Content design for digital apprenticeship service (SFADAS02),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/315,digital-outcomes-and-specialists,digital-outcomes,,"Skills Funding Agency (SFA) on behalf of the Department for Business, Innovation and Skills (BIS)",sfa.bis.gov.uk,West Midlands,2016-06-08,2 weeks,2 years but may be shorter depending on progress in delivering the service.,9.0,2.0,11.0,closed,,,,
323,"HM Courts and Tribunal Service (HMCTS) - Alpha, Beta and Live RFM-TD-005",https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/323,digital-outcomes-and-specialists,digital-outcomes,,HM Courts and Tribunal Service (HMCTS),hmcts.gsi.gov.uk,London,2016-06-17,2 weeks,2 years. The first SOW will be for a 3 month duration with other SOWs developed over the term.,22.0,15.0,37.0,closed,,,,
316,RTFO - System Discovery,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/316,digital-outcomes-and-specialists,digital-outcomes,,Department for Transport,dvla.gsi.gov.uk,South East England,2016-06-09,2 weeks,4-6 weeks,11.0,6.0,17.0,closed,,,,
330,Web Operations Engineer for UKTI,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/330,digital-outcomes-and-specialists,digital-specialists,webOperations,UK Trade & Investment,digital.bis.gov.uk,London,2016-06-07,2 weeks,6 months with an option to extend quarter on quarter at the Authority's sole discretion.,25.0,2.0,27.0,closed,,,,
344,Network Engineer/Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/344,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Justice,justice.gsi.gov.uk,London,2016-06-08,2 weeks,3-12 months TBC,28.0,3.0,31.0,closed,,,,
342,Wireless Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/342,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Justice,justice.gsi.gov.uk,London,2016-06-08,2 weeks,,24.0,3.0,27.0,closed,,,,
345,Network Engineer/Architect 01,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/345,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Justice,justice.gsi.gov.uk,London,2016-06-08,2 weeks,6-12 months TBC,33.0,5.0,38.0,closed,,,,
334,RTFO - Agile Coach,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/334,digital-outcomes-and-specialists,digital-specialists,agileCoach,Department for Transport,dvla.gsi.gov.uk,South East England,2016-06-09,2 weeks,Until April 2017,33.0,4.0,37.0,closed,,,,
357,Embedding new capabilities for the Parliamentary Digital Service,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/357,digital-outcomes-and-specialists,digital-outcomes,,Houses of Parliament - Parliamentary Digital Service,parliament.uk,London,2016-06-15,2 weeks,,30.0,9.0,39.0,closed,,,,
